genus,species,subspecies,collection,strain_id
Mucor,intermedius,"",NRRL,6588
Mucor,pakistanicus,"",NRRL,6589
Mucor,lahorensis,"",NRRL,6592
Mucor,lamprosporus,"",NRRL,3300
Mucor,odoratus,"",NRRL,3064
Mucor,petrinsularis,ovalisporus,NRRL,2536
Mucor,variabilis,"",NRRL,3209
Mucor,indicus,"",NRRL,555
Mucor,flavus,"",NRRL,2597
Mucor,azygosporus,"",NRRL,3068
Mucor,petrinsularis,echinosporus,NRRL,3141
Mucor,zychii,"",NRRL,3243
Mucor,racemosus,racemosus,NRRL,3640
Mucor,circinelloides,griseocyanus,NRRL,A-7420
Mucor,tauricus,"",NRRL,3695
Mycotypha,guadalcanalensis,"",NRRL,5511
Mycotypha,africana,"",NRRL,2978
Phycomyces,blakesleeanus,piloboloides,NRRL,2565
Pilaira,caucasica,"",NRRL,6282
Piptocephalis,arrhiza,"",NRRL,A-11545
Piptocephalis,indica,"",NRRL,62910
Piptocephalis,arrhiza,"",NRRL,2804
Pirella,circinans,"",NRRL,2701
Pirella,naumovii,"",NRRL,22617
Radiomyces,embreei,"",NRRL,2839
Rhizomucor,variabilis,"",NRRL,54371
Rhizomucor,variabilis,regularior,NRRL,54372
Rhizopus,acidus,"",NRRL,2863
Rhizopus,acetoinus,"",NRRL,549
Rhizopus,semarangensis,"",NRRL,1573
Rhizopus,tienchiuliensis,"",NRRL,2887
Rhizopus,formosaensis,"",NRRL,2909
Rhizopus,hangchao,"",NRRL,2874
Rhizopus,chinensis,liquefaciens,NRRL,2870
Rhizopus,chinensis,"",NRRL,2904
Rhizopus,javanicus,kawasakiensis,NRRL,A-3955
Rhizopus,chungkuoensis,isofermentarius,NRRL,2873
Rhizopus,homothallicus,"",NRRL,2538
Rhizopus,sontii,"",NRRL,2868
Rhizopus,sexualis,americanus,NRRL,2626
Rhizopus,delemar,minimus,NRRL,2872
Rhizopus,oryzae,"",NRRL,3133
Saksenaea,vasiformis,"",NRRL,2443
Spinellus,fusiger,"",NRRL,22323
Spiromyces,minutus,"",NRRL,3067
Syncephalis,hypogena,"",NRRL,13722
Syzygites,megalocarpus,"",NRRL,A-10032
Thamnidium,ctenidium,"",NRRL,2929
Thermomucor,indicae-seudaticae,"",NRRL,6353
Tieghemiomyces,parasiticus,"",NRRL,2924
Umbelopsis,nana,"",NRRL,22420
Umbelopsis,fusiformis,"",NRRL,22419
Utharomyces,epallocaulus,"",NRRL,3168
Zychaea,mexicana,"",NRRL,6237
Zygorhynchus,macrocarpus,"",NRRL,2663
Zygorhynchus,californiensis,"",NRRL,2658
Zygorhynchus,moelleri,"",NRRL,1497
Zygorhynchus,moelleri,"",NRRL,2660
Zygorhynchus,heterogamus,"",NRRL,1489
Zygorhynchus,exponens,smithii,NRRL,2572
