genus,species,count(*)
Mortierella,echinula,1
Mortierella,echinulata,1
Mortierella,elasson,1
Mortierella,elongata,10
Mortierella,epigama,1
Mortierella,ericetorum,2
Mortierella,exigua,5
Mortierella,formosensis,2
Mortierella,gemmifera,1
Mortierella,globulifera,3
Mortierella,gracilis,2
Mortierella,humilis,2
Mortierella,hyalina,2
Mortierella,hygrophila,11
Mortierella,indohii,2
Mortierella,isabellina,56
Mortierella,jenkinii,2
Mortierella,lignicola,1
Mortierella,longicollea,1
Mortierella,macrocystis,2
Mortierella,marburgensis,10
Mortierella,microspora,1
Mortierella,minutissima,6
Mortierella,multidivaricata,1
Mortierella,mundensis,1
Mortierella,nana,5
Mortierella,nantahalensis,3
Mortierella,ovata,2
Mortierella,parvispora,8
Mortierella,polycephala,10
Mortierella,pulchella,6
Mortierella,pusilla,7
Mortierella,ramanniana,3
Mortierella,renispora,1
Mortierella,reticulata,2
Mortierella,rishikesha,1
Mortierella,roseonana,1
Mortierella,rostafinskii,5
Mortierella,schmuckeri,2
Mortierella,sclerotiella,1
Mortierella,sepedonioides,1
Mortierella,simplex,4
Mortierella,sp.,94
Mortierella,spinosa,2
Mortierella,strangulata,1
Mortierella,stricta,1
Mortierella,stylospora,2
Mortierella,thaxteri,2
Mortierella,tuberosa,1
Mortierella,umbellata,1
Mortierella,verticillata,3
Mortierella,vesiculosa,3
Mortierella,vinacea,22
Mortierella,wolfii,8
Mortierella,zonata,2
Mortierella,zychae,8
Mucor,abundans,2
Mucor,adventitius,1
Mucor,albidus,1
Mucor,alboater,7
Mucor,aligarensis,1
Mucor,alternans,240
Mucor,amphibiorum,1
Mucor,angulisporus,31
Mucor,aromaticus,6
Mucor,attenuatus,13
Mucor,azygosporus,1
Mucor,bacilliformis,4
Mucor,bainieri,2
Mucor,brunneus,4
Mucor,caninus,96
Mucor,christianensis,1
Mucor,circina,1
Mucor,circinelloides,138
Mucor,corticolus,5
Mucor,dimorphosporus,1
Mucor,dispersa,1
Mucor,dispersus,16
Mucor,flavus,20
Mucor,foenicola,8
Mucor,fornicola,1
Mucor,fragilis,390
Mucor,fumosus,1
Mucor,fuscus,4
Mucor,genevensis,45
Mucor,geophilus,1
Mucor,globosus,20
Mucor,griseo-ochraceus,9
Mucor,griseocyanus,1
Mucor,griseoroseus,1
Mucor,guilliermondii,1
Mucor,haniocevii,1
Mucor,heterosporus,2
Mucor,hiemalis,442
Mucor,inaequisporus,3
Mucor,indicus,11
Mucor,intermedius,1
Mucor,irregularis,2
Mucor,javanicus,28
Mucor,lahorensis,1
Mucor,lamprosporus,15
Mucor,lausannensis,3
Mucor,laxorhizus,4
Mucor,luteus,17
Mucor,maequisporus,2
Mucor,mephitis,1
Mucor,microsporus,14
Mucor,miehei,32
Mucor,moelleri,1
Mucor,mousanensis,1
Mucor,mucedo,31
Mucor,mucilagineus,3
Mucor,nidicola,1
Mucor,oblongisporus,12
Mucor,oblongrosporus,1
Mucor,odoratus,2
Mucor,oudemansii,4
Mucor,pakistanicus,1
Mucor,petrinsularis,9
Mucor,petropolitanus,15
Mucor,philippovi,1
Mucor,piriformis,22
Mucor,plasmaticus,4
Mucor,plumbeus,122
Mucor,prainii,6
Mucor,psychrophilis,1
Mucor,pusillus,137
Mucor,pyriformis,1
Mucor,racemosus,150
Mucor,ramannianus,46
Mucor,ramosissimus,4
Mucor,recurvatus,1
Mucor,recurvus,8
Mucor,rouxianus,5
Mucor,rouxii,12
Mucor,rufescens,1
Mucor,saturninus,4
Mucor,sciurinus,1
Mucor,silvaticus,7
Mucor,sinensis,1
Mucor,sp.,684
Mucor,sphaerosporus,2
Mucor,strictus,12
Mucor,subtilissimus,37
Mucor,tauricus,2
Mucor,tenellus,1
Mucor,tenuis,1
Mucor,vallesiacus,1
Mucor,variabilis,1
Mucor,varians,1
Mucor,wosnessenskii,2
Mucor,zychii,2
Mycocladus,corymbifer,1
Mycotypha,africana,2
Mycotypha,dichotoma,6
Mycotypha,guadalcanalensis,1
Mycotypha,indica,1
Mycotypha,microspora,17
Parasitella,parasitica,4
Parasitella,simplex,6
Parasitella,sp.,1
Phycomyces,blakesleeanus,78
Phycomyces,nitens,28
Phycomyces,sp.,1
Phycomyces,theobromatus,2
Pilaira,anomala,12
Pilaira,caucasica,1
Pilaira,cesatii,2
Pilaira,moreaui,4
Pilaira,sp.,15
Pilobolus,crystallinus,5
Pilobolus,gracilis,1
Pilobolus,heterosporus,1
Pilobolus,kleinii,4
Pilobolus,roridus,1
Pilobolus,umbonatus,2
Piptocephalis,arrhiza,2
Piptocephalis,benjaminii,4
Piptocephalis,brijmohanii,2
Piptocephalis,corymbifera,1
Piptocephalis,cylindrospora,5
Piptocephalis,freseniana,1
Piptocephalis,indica,1
Piptocephalis,lemonnierana,1
Piptocephalis,lepidula,7
Piptocephalis,macrospora,1
Piptocephalis,microcephala,1
Piptocephalis,minuta,3
Piptocephalis,polyendemica,1
Piptocephalis,repens,3
Piptocephalis,sp.,21
Piptocephalis,tieghemiana,4
Piptocephalis,virginiana,2
Piptocephalis,xenophila,2
Pirella,circinans,10
Pirella,naumovii,1
Pirella,reniformis,1
Protomycocladus,faisalabadensis,1
Radiomyces,embreei,1
Radiomyces,mexicana,1
Radiomyces,spectabilis,3
Rhizomucor,indicaesudaticae,5
Rhizomucor,miehei,3
Rhizomucor,pusillus,10
Rhizomucor,sp.,2
Rhizomucor,variabilis,5
Rhizopus,acetoinus,3
Rhizopus,achlamydosporus,2
Rhizopus,acidus,1
Rhizopus,arrhizus,552
Rhizopus,artocarpi,5
Rhizopus,azygosporus,2
Rhizopus,batatas,1
Rhizopus,bovinus,1
Rhizopus,chinensis,102
Rhizopus,chinese,1
Rhizopus,chlamydosporus,1
Rhizopus,chungkuoensis,2
Rhizopus,circinans,6
Rhizopus,cohnii,1
Rhizopus,delemar,7
Rhizopus,elegans,1
Rhizopus,formosaensis,10
Rhizopus,hangchao,8
Rhizopus,homothallicus,5
Rhizopus,japonicus,5
Rhizopus,javanicus,5
Rhizopus,kansho,1
Rhizopus,kasanensis,1
Rhizopus,liquefaciens,3
Rhizopus,microsporus,94
Rhizopus,microsporuschinensis,1
Rhizopus,mochi,1
Rhizopus,nigricans,13
Rhizopus,niveus,19
Rhizopus,nodosus,3
Rhizopus,oligosporus,49
Rhizopus,oryzae,177
Rhizopus,peka,5
Rhizopus,pseudochinensis,2
Rhizopus,pygmaeus,1
Rhizopus,reflexus,17
Rhizopus,rhizopodiformis,155
Rhizopus,semarangensis,1
Rhizopus,sexualis,3
Rhizopus,shanghaiensis,1
Rhizopus,sontii,1
Rhizopus,sp.,966
Rhizopus,stolonifer,150
Rhizopus,suinus,3
Rhizopus,thermosus,1
Rhizopus,tienchiuliensis,1
Rhizopus,tonkinensis,3
Rhizopus,tritici,6
Rhopalomyces,elegans,10
Rhopalomyces,sp.,7
Saksenaea,sp.,1
Saksenaea,vasiformis,14
Smittium,culisetae,1
Spinellus,fusiger,6
Spinellus,macrocarpus,11
Spiromyces,minutus,4
Spiromyces,sp.,1
Sporodinia,grandis,1
Sporodiniella,umbellata,1
Syncephalastrum,fuliginosum,1
Syncephalastrum,monosporum,6
Syncephalastrum,racemosum,129
Syncephalastrum,sp.,62
Syncephalastrum,verruculosum,1
Syncephalis,adunca,1
Syncephalis,aurantium,1
Syncephalis,cornu,5
Syncephalis,depressa,2
Syncephalis,hypogena,1
Syncephalis,intermedia,1
Syncephalis,nana,1
Syncephalis,nodosa,1
Syncephalis,plumigaleata,1
Syncephalis,sp.,16
Syncephalis,sphaerica,2
Syncephalis,tranzschellii,1
Syzygites,megalocarpus,16
Syzygites,sp.,2
Thamnidium,anomalum,22
Thamnidium,anomola,1
Thamnidium,ctenidium,2
Thamnidium,elegans,49
Thamnostylum,lucknowense,1
Thamnostylum,nigricans,2
Thamnostylum,piriforme,7
Thamnostylum,repens,2
Thamnostylum,sp.,15
Thermomucor,indicae-seudaticae,2
Tieghemiomyces,californicus,1
Tieghemiomyces,parasiticus,1
Umbelopsis,fusiformis,1
Umbelopsis,isabellina,1
Umbelopsis,nana,1
Umbelopsis,sp.,1
Utharomyces,epallocaulus,2
Utharomyces,sp.,1
Zoophagus,insidians,2
Zoophthora,radicans,1
Zychaea,mexicana,1
Zychaea,sp.,1
Zygorhynchus,californiensis,1
Zygorhynchus,exponens,3
Zygorhynchus,heterogamus,7
Zygorhynchus,macrocarpus,7
Zygorhynchus,moelleri,68
Zygorhynchus,psychrophilus,1
Zygorhynchus,sp.,2
Zygorhynchus,vuillemini,3
Zygorhynchus,vuillmanii,2
