Aele_B7760	Apophysomyces_elegans_B7760
Atra_B9324	Apophysomyces_trapeziformis_B9324
Bacci1	Backusella_circina_FSU_941
Bmer_B9252	Basidiobolus_meristosporus_B9252
Coere1	Coemansia_reversa_NRRL_1564
Crec_B5483	Cokeromyces_recurvatus_B5483
Conco1	Conidiobolus_coronatus_NRRL_28638
Cinc_B7586	Conidiobolus_incongruus_B7586
Conth1	Conidiobolus_thromboides_FSU_785
Cber_175	Cunninghamella_bertholletiae_175
Cele_B9769	Cunninghamella_elegans_B9769
Lcor_FSU_9682	Lichtheimia_corymbifera_FSU_9682
Lichy1	Lichtheimia_hyalospora_FSU_10163
Lram_B5399	Lichtheimia_ramosa_B5399
Marpt1	Martensiomyces_pterosporus
Malp_B6842	Mortierella_alpina_B6842
Morel1	Mortierella_elongata_AG-77
Mver_NRRL_6337	Mortierella_verticillata_NRRL_6337
Mind_B7402	Mucor_indicus_B7402
Mirr_B50	Mucor_irregularis_B50
Mrac_B9645	Mucor_racemosus_B9645
Mram_97_1192	Mucor_ramosissimus_97-1192
Mvel_B5328	Mucor_velutinosus_B5328
Phybl2	Phycomyces_blakesleeanus_NRRL_1555
Rambr1	Ramicandelaber_brevisporus
Rmie_CAU432	Rhizomucor_miehei_CAU432
Rvar_B7584	Rhizomucor_variabilis_B7584
Gloin1	Rhizophagus_irregularis_DAOM_181602
Rdel_RA_99_880	Rhizopus_delemar_RA_99-880
Rmic_CCTCC_M201021	Rhizopus_microsporus_var_chinensis_CCTCC_M201021
Rmic_B7455	Rhizopus_microsporus_var_rhizopodiformus_B7455
Rory_99_892	Rhizopus_oryzae_99-892
Rsto_B9770	Rhizopus_stolonifer_B9770
Svas_B4078	Saksenaea_vasiformis_B4078
Smon_B8922	Syncephalastrum_monosporum_B8922
Srac_B6101	Syncephalastrum_racemosum_B6101
Tind_HACC_243	Thermomucor_indicae-seudaticae_HACC_243
Uisa_B7317	Umbelopsis_isabellina_B7317
Umbra1	Umbelopsis_ramanniana_AG_#
