A-16016,NRRL,Absidia,glauca,,,FALSE,1968-02-16,"R.A.A. Morrall, University of Saskatchewan, Canada","Absidia glauca = rm 2196",,,,FALSE,FALSE,TRUE
A-16673,NRRL,Absidia,ramosa,,,FALSE,1968-10-22,"NRRL isolate",,"Corn (sample f4095)",,,FALSE,FALSE,TRUE
A-16017,NRRL,Absidia,glauca,,,FALSE,1968-02-16,"R.A.A. Morrall, University of Saskatchewan, Canada","Absidia glauca = rm 2367",,,,FALSE,FALSE,TRUE
A-16018,NRRL,Absidia,spinosa,var.,biappendiculata,FALSE,1968-02-16,"R.A.A. Morrall, University of Saskatchewan, Canada","Absidia spinosa = rm 3054",,,,FALSE,FALSE,TRUE
A-10569,NRRL,Absidia,hyalospora,,,FALSE,1960-12-01,"NRRL isolate",,Contaminant,,,FALSE,FALSE,TRUE
A-17506,NRRL,Absidia,sp.,,,FALSE,1969-10-28,"NRRL isolate",,"Corn (sample f4501)",,,FALSE,FALSE,TRUE
A-16020,NRRL,Absidia,glauca,,,FALSE,1968-02-16,"R.A.A. Morrall, University of Saskatchewan, Canada","Absidia glauca = rm 3248",,,,FALSE,FALSE,TRUE
A-11046,NRRL,Absidia,orchidis,,,FALSE,1961-06-08,"J. Truckenbrodt, Germany","Absidia orchidis (+) = cdxxiv",,,,FALSE,FALSE,TRUE
A-11493,NRRL,Absidia,cuneospora,,,FALSE,1962-03-29,"G.F. Orr, University of California, Los Angeles, California",O-1057,Soil,"13 miles east of Littlerock, Los Angeles County, California",USA,FALSE,FALSE,TRUE
A-13900,NRRL,Absidia,glauca,,,FALSE,1965-09-14,"J.E. Wright, Buenos Aires, Argentina",98,,,,FALSE,FALSE,TRUE
A-15298,NRRL,Absidia,coerulea,,,FALSE,1967-04-19,"A.T. Dudani, National Dairy Research Inst.","Mucor pusillus",,,,FALSE,FALSE,TRUE
A-17525,NRRL,Absidia,sp.,,,FALSE,1969-10-29,"NRRL isolate",,"Corn (sample f4400b)",,,FALSE,FALSE,TRUE
A-17533,NRRL,Absidia,sp.,,,FALSE,1969-11-03,"NRRL isolate",,"Corn (sample f4501a)",,,FALSE,FALSE,TRUE
A-11816,NRRL,Absidia,glauca,,,FALSE,1962-10-15,"W.G. Solheim, Laramie, Wyoming","Absidia lichtheimii = r65","Alpine soil","Medicine Bow Mountains, Wyoming",USA,FALSE,FALSE,TRUE
2799,NRRL,Absidia,glauca,,,FALSE,1959-09-03,"Centraalbureau voor Schimmelcultures, Baarn, The Netherlands","Absidia asparagi","Manure in asparagus field","Riverside along Rhine near Winkel im Rheingau",Germany,TRUE,FALSE,TRUE
A-7477,NRRL,Absidia,spinosa,,,FALSE,1957-10-01,"C.W. Emmons, National Institute of Health, Bethesda, Maryland","Absidia sp = sf 24",,,,FALSE,FALSE,TRUE
A-11817,NRRL,Absidia,glauca,,,FALSE,1962-10-15,"W.G. Solheim, Laramie, Wyoming","Absidia glauca = r40","Alpine soil","Medicine Bow Mountains, Wyoming",USA,FALSE,FALSE,TRUE
A-16691,NRRL,Absidia,ramosa,,,FALSE,1968-10-31,"NRRL isolate",,"Corn (sample f4126b)",,,FALSE,FALSE,TRUE
A-12123,NRRL,Absidia,californica,,,FALSE,1963-03-28,"WM.B. Cooke, Public Health Service, Cincinnati, Ohio",,"Creek soil","Yew Creek, Benton County, Oregon",USA,FALSE,FALSE,TRUE
A-7683,NRRL,Absidia,corymbifera,,,FALSE,1958-04-01,"E.G. Simmons, Quartermaster Culture Collection housed at NCAUR, Peoria, IL","Absidia ramosa","Cloth, cotton undershirt",,"New Guinea",FALSE,FALSE,TRUE
A-17540,NRRL,Absidia,sp.,,,FALSE,1969-11-03,"NRRL isolate",,"Corn (sample f4504b)",,,FALSE,FALSE,TRUE
A-12125,NRRL,Absidia,californica,,,FALSE,1963-03-28,"WM.B. Cooke, Public Health Service, Cincinnati, Ohio",,Soil,"Rockhouse Camp, Linn County, Oregon",USA,FALSE,FALSE,TRUE
A-16036,NRRL,Absidia,ramosa,,,FALSE,1968-03-05,"H.C. Evans, University of Keele, Staffordshire, England","Mucor sp? = m4","Coal spoil tips",,,FALSE,FALSE,TRUE
A-12126,NRRL,Absidia,spinosa,var.,biappendiculata,FALSE,1963-03-28,"WM.B. Cooke, Public Health Service, Cincinnati, Ohio",,"Path soil","Logan River Canyon, Utah",USA,FALSE,FALSE,TRUE
A-13917,NRRL,Absidia,cylindrospora,,,FALSE,1965-09-17,"NRRL isolate",,Soil,"Boulder County, Colorado",USA,FALSE,FALSE,TRUE
A-12127,NRRL,Absidia,ramosa,,,FALSE,1963-03-28,"WM.B. Cooke, Public Health Service, Cincinnati, Ohio",,Soil,"Worm Creek below Preston Stop, Idaho",USA,FALSE,FALSE,TRUE
A-12128,NRRL,Absidia,spinosa,var.,biappendiculata,FALSE,1963-03-28,"WM.B. Cooke, Public Health Service, Cincinnati, Ohio",4648,"River bank soil","Bear River, Cache County, Utah",USA,FALSE,FALSE,TRUE
A-17649,NRRL,Absidia,sp.,,,FALSE,1969-11-26,"NRRL isolate",,"Corn (sample f4015)",,,FALSE,FALSE,TRUE
A-11832,NRRL,Absidia,spinosa,,,FALSE,1962-10-22,"H. Stenton, University of Hong Kong","Mucor sp = h5","Road soil","Hong Kong",China,FALSE,FALSE,TRUE
A-12129,NRRL,Absidia,glauca,,,FALSE,1963-03-28,"WM.B. Cooke, Public Health Service, Cincinnati, Ohio",4435,"Creek soil","Berry Creek, Benton County, Oregon",USA,FALSE,FALSE,TRUE
A-14915,NRRL,Absidia,spinosa,,,FALSE,1966-12-12,"C.J. Alexopoulos, University of Texas, Austin, Texas","Absidia sp = nsf 1077","Rabbit dung",Texas,USA,FALSE,FALSE,TRUE
A-12130,NRRL,Absidia,spinosa,var.,biappendiculata,FALSE,1963-03-28,"WM.B. Cooke, Public Health Service, Cincinnati, Ohio",4645,"River bank soil","Bear River, Cache County, Utah",USA,FALSE,FALSE,TRUE
A-17780,NRRL,Absidia,sp.,,,FALSE,1970-01-26,"NRRL isolate",,"Corn (sample f4370a)",,,FALSE,FALSE,TRUE
A-17698,NRRL,Absidia,sp.,,,FALSE,1969-12-04,"NRRL isolate",,"Corn (sample f4415a)",,,FALSE,FALSE,TRUE
A-17926,NRRL,Absidia,macrospora,,,FALSE,1970-04-21,"K. Botaniky, University of Karlovy, Prague, Czechoslovakia","Absidia macrospora = 1006",,,,FALSE,FALSE,TRUE
A-17719,NRRL,Absidia,sp.,,,FALSE,1969-12-04,"NRRL isolate",,"Corn (sample f4410b)",,,FALSE,FALSE,TRUE
A-17775,NRRL,Absidia,sp.,,,FALSE,1970-01-26,"NRRL isolate",,"Corn (sample f4362a)",,,FALSE,FALSE,TRUE
A-16716,NRRL,Absidia,ramosa,,,FALSE,1968-11-06,"NRRL isolate",,"Corn (sample f4133)",,,FALSE,FALSE,TRUE
A-16717,NRRL,Absidia,ramosa,,,FALSE,1968-11-06,"NRRL isolate",,"Corn (sample f4142)",,,FALSE,FALSE,TRUE
A-16718,NRRL,Absidia,ramosa,,,FALSE,1968-11-06,"NRRL isolate",,"Corn (sample f4134)",,,FALSE,FALSE,TRUE
3069,NRRL,Absidia,cylindrospora,,,FALSE,1958-05-01,"G.F. Orr, University of California, Los Angeles, California","Absidia cylindrospora",,California,USA,FALSE,FALSE,TRUE
A-13938,NRRL,Absidia,glauca,,,FALSE,1965-09-21,"WM.B. Cooke, HEW, Cincinnati, Ohio",Pr-16-3,"River water","Weld County, Colorado",USA,FALSE,FALSE,TRUE
A-13939,NRRL,Absidia,glauca,,,FALSE,1965-09-21,"WM.B. Cooke, HEW, Cincinnati, Ohio",Am-10-27-1-6,Soil,"Ash Cave State Park Trail, Hocking County, Ohio",USA,FALSE,FALSE,TRUE
A-9134B,NRRL,Absidia,corymbifera,,,FALSE,1959-01-19,"C.C. Yeager, Sci Oil Compounding Company,Inc., Chicago, Illinois",,Soil,"Philadelphia, Pennsylvania",USA,FALSE,FALSE,TRUE
A-13940,NRRL,Absidia,corymbifera,,,FALSE,1965-09-21,"WM.B. Cooke, HEW, Cincinnati, Ohio",Mw-1-3,"Sewage sludge","Milwaukee, Wisconsin",USA,FALSE,FALSE,TRUE
A-13941,NRRL,Absidia,cylindrospora,,,FALSE,1965-09-21,"WM.B. Cooke, HEW, Cincinnati, Ohio",Am-6-30-3,"Pool bottom soil","Ash Cave State Park Trail, Hocking County, Ohio",USA,FALSE,FALSE,TRUE
A-13942,NRRL,Absidia,glauca,,,FALSE,1965-09-21,"WM.B. Cooke, HEW, Cincinnati, Ohio",Am-4-15-18a,"Creek shore soil with coal fines","West Virginia",USA,FALSE,FALSE,TRUE
A-13943,NRRL,Absidia,glauca,,,FALSE,1965-09-21,"WM.B. Cooke, HEW, Cincinnati, Ohio",Pr-2-26-12,"Stream bottom sediment soil","Larimer County, Colorado",USA,FALSE,FALSE,TRUE
A-13944,NRRL,Absidia,glauca,,,FALSE,1965-09-21,"WM.B. Cooke, HEW, Cincinnati, Ohio",Am-6-11-3b,"Creek bank soil","Sunday Creek, Ohio",USA,FALSE,FALSE,TRUE
A-13945,NRRL,Absidia,spinosa,,,FALSE,1965-09-21,"WM.B. Cooke, HEW, Cincinnati, Ohio",S-4-2-14,Soil,"Mount  Shasta, Siskiyou County, California",USA,FALSE,FALSE,TRUE
